dmr_make,dmr_model,age_band,strata_merged,n_tests,pass_rate,reference_weight
VOLVO,V60,3,1+2,50,0.86,0.0336
VOLVO,V60,3,3,880,0.7341,0.1888
VOLVO,V60,3,4,4306,0.6475,0.335
VOLVO,V60,3,5,5241,0.5697,0.277
VOLVO,V60,3,6,3476,0.4822,0.1657
VOLVO,V40,3,1+2,246,0.813,0.0336
VOLVO,V40,3,3,2524,0.6886,0.1888
VOLVO,V40,3,4,5753,0.588,0.335
VOLVO,V40,3,5,3553,0.508,0.277
VOLVO,V40,3,6,1318,0.4021,0.1657
TOYOTA,YARIS 5-DØRS,1,1+2,9582,0.8508,0.2591
TOYOTA,YARIS 5-DØRS,1,3,6544,0.7399,0.5561
TOYOTA,YARIS 5-DØRS,1,4,654,0.5657,0.1477
TOYOTA,YARIS 5-DØRS,1,5,74,0.4189,0.0239
TOYOTA,YARIS 5-DØRS,1,6,28,0.5357,0.0132
CITROËN,C 1,4,1+2,59,0.5254,0.0128
CITROËN,C 1,4,3,412,0.3835,0.0879
CITROËN,C 1,4,4,468,0.2778,0.2053
CITROËN,C 1,4,5+6,180,0.2111,0.694
SKODA,KODIAQ,2,2+3,432,0.8426,0.4388
SKODA,KODIAQ,2,4,1017,0.8033,0.3855
SKODA,KODIAQ,2,5,479,0.785,0.1301
SKODA,KODIAQ,2,6,177,0.6723,0.0455
NISSAN,MICRA,3,2,156,0.7179,0.0334
NISSAN,MICRA,3,3,431,0.5336,0.1888
NISSAN,MICRA,3,4,222,0.3784,0.335
NISSAN,MICRA,3,5+6,62,0.4032,0.4426
VOLKSWAGEN,GOLF,3,1+2,1319,0.7938,0.0336
VOLKSWAGEN,GOLF,3,3,9444,0.6619,0.1888
VOLKSWAGEN,GOLF,3,4,16416,0.5709,0.335
VOLKSWAGEN,GOLF,3,5,9691,0.5102,0.277
VOLKSWAGEN,GOLF,3,6,3737,0.4466,0.1657
BMW,3-Serie,4,1+2,48,0.8333,0.0128
BMW,3-Serie,4,3,461,0.5466,0.0879
BMW,3-Serie,4,4,1770,0.4017,0.2053
BMW,3-Serie,4,5,3207,0.3124,0.2881
BMW,3-Serie,4,6,5149,0.2525,0.406
VOLKSWAGEN,TOURAN,4,1+2+3,211,0.6351,0.1007
VOLKSWAGEN,TOURAN,4,4,1022,0.4335,0.2053
VOLKSWAGEN,TOURAN,4,5,3090,0.3576,0.2881
VOLKSWAGEN,TOURAN,4,6,6091,0.2796,0.406
VOLVO,XC90,4,1+3+4,49,0.5714,0.2936
VOLVO,XC90,4,5,270,0.3926,0.2881
VOLVO,XC90,4,6,1506,0.3154,0.406
KIA,SPORTAGE,3,2,142,0.6901,0.0334
KIA,SPORTAGE,3,3,1219,0.4979,0.1888
KIA,SPORTAGE,3,4,2993,0.3902,0.335
KIA,SPORTAGE,3,5,2425,0.3278,0.277
KIA,SPORTAGE,3,6,1017,0.3117,0.1657
OPEL,CORSA,4,2,129,0.6279,0.0124
OPEL,CORSA,4,3,923,0.4182,0.0879
OPEL,CORSA,4,4,1122,0.2932,0.2053
OPEL,CORSA,4,5,651,0.2197,0.2881
OPEL,CORSA,4,6,192,0.1615,0.406
FORD,GALAXY,3,2+3,38,0.6053,0.2222
FORD,GALAXY,3,4,335,0.3642,0.335
FORD,GALAXY,3,5,745,0.353,0.277
FORD,GALAXY,3,6,648,0.2932,0.1657
MITSUBISHI,ASX,4,1+2,33,0.7273,0.0128
MITSUBISHI,ASX,4,3,363,0.6253,0.0879
MITSUBISHI,ASX,4,4,1236,0.5259,0.2053
MITSUBISHI,ASX,4,5,1865,0.4075,0.2881
MITSUBISHI,ASX,4,6,1652,0.3323,0.406
VOLVO,V70,3,1+2,25,0.88,0.0336
VOLVO,V70,3,3,414,0.756,0.1888
VOLVO,V70,3,4,2537,0.6626,0.335
VOLVO,V70,3,5,4254,0.5839,0.277
VOLVO,V70,3,6,4247,0.4777,0.1657
AUDI,A1 SPORTBACK,4,2+3,40,0.5,0.1002
AUDI,A1 SPORTBACK,4,4,93,0.4624,0.2053
AUDI,A1 SPORTBACK,4,5+6,50,0.44,0.694
FORD,FOCUS STATIONSVOGN,4,1+2,97,0.5567,0.0128
FORD,FOCUS STATIONSVOGN,4,3,937,0.5165,0.0879
FORD,FOCUS STATIONSVOGN,4,4,3091,0.3698,0.2053
FORD,FOCUS STATIONSVOGN,4,5,4297,0.3072,0.2881
